Unnamed: 0,Unnamed: 0.1,link,usr_name,start_date,BI,tournaments,coef,stakeback,player_part,sell_left,status,item_info,shit,BI_actual,Cashes
623,2987,https://mttmarket.com/users/541ebfc20cf22953036c82e2,Senheiser,14.08.2015,213.69,21,1.17,,50.0,0.0,-39.36,https://mttmarket.com/packets/item/55cdd3b661ccb60d4e47d7d5,,48.05,8.69
624,2988,https://mttmarket.com/users/555ef8880cf2820a8e3d8b32,Luckybet101,14.08.2015,104.46,21,1.15,,50.0,0.0,-17.82,https://mttmarket.com/packets/item/55cddf2761ccb60da17e00b9,,101.44,83.62
625,2989,https://mttmarket.com/users/549da30f0cf23c3abe0cbd63,Ckopo6oraTbIu,14.08.2015,240.01,31,1.16,,30.0,0.0,84.32,https://mttmarket.com/packets/item/55c89dde61ccb60bf8f204ff,,199.91,284.23
626,2990,https://mttmarket.com/users/5563057d0cf25c1c3c02ed7b,iamhater,14.08.2015,101.1,19,1.16,,20.0,0.0,-48.11,https://mttmarket.com/packets/item/55cd345861ccb60be31bb819,,99.1,50.99
627,2991,https://mttmarket.com/users/55aff4fa61ccb60011d702f8,dmitry83,14.08.2015,229.2,33,1.15,,50.0,0.0,-191.21,https://mttmarket.com/packets/item/55cbd31261ccb607136abe31,,225.9,34.69
628,2992,https://mttmarket.com/users/556cbc150cf2a06f7748d44a,Jonny_Rixter,14.08.2015,287.5,43,1.15,,41.86,0.0,27.0,https://mttmarket.com/packets/item/55ccaea161ccb609be5bde9b,,282.1,309.1
629,2993,https://mttmarket.com/users/55b7638661ccb60110fb4be8,tomoto,14.08.2015,187.0,18,1.15,,20.35,0.0,-137.04,https://mttmarket.com/packets/item/55ccaf6f61ccb609af3d03b8,,187.0,49.96
630,2994,https://mttmarket.com/users/537318450cf2c8120d3cc289,O_o link,14.08.2015,130.37,21,1.18,,50.0,0.0,-80.9,https://mttmarket.com/packets/item/55cdd0ad61ccb60d548e2f59,,91.95,11.05
631,2995,https://mttmarket.com/users/55a1f9200cf2c4481c7a6e6a,Eddy James Kenway,14.08.2015,128.25,40,1.15,,20.0,0.0,-46.78,https://mttmarket.com/packets/item/55ccd29e61ccb60a72b9777a,,52.0,5.22
632,2996,https://mttmarket.com/users/55ae277361ccb6000f1fa24f,tuuuhuurbboooo,14.08.2015,282.75,46,1.14,,90.0,0.0,21.81,https://mttmarket.com/packets/item/55cd336961ccb60be93405ad,,217.25,239.06
633,2997,https://mttmarket.com/users/53b17f950cf2c8120d45dbb2,Dartuha,14.08.2015,80.16,11,1.17,,20.0,0.0,-75.16,https://mttmarket.com/packets/item/55cdc30861ccb60d2233c95e,,75.16,0.0
634,2998,https://mttmarket.com/users/5457f2620cf24a5c0d853d24,Glewellin17,14.08.2015,176.33,25,1.16,,40.0,0.0,42.19,https://mttmarket.com/packets/item/55cc761961ccb608b014d075,,132.4,174.59
635,2999,https://mttmarket.com/users/557b28d80cf28887159d80b5,KOHb_blr,14.08.2015,201.5,20,1.16,,50.0,0.0,719.71,https://mttmarket.com/packets/item/55cd0af161ccb60b623ae584,,163.1,882.81
636,3000,https://mttmarket.com/users/5535460f0cf26d1eaea4774e,SkyWorker,13.08.2015,282.28,11,1.15,,90.0,0.0,43.67,https://mttmarket.com/packets/item/55cc78d561ccb608d498cba3,,277.28,320.95
637,3001,https://mttmarket.com/users/555a30660cf2820a8e3c6366,antey2710,13.08.2015,25.3,14,1.15,,100.0,0.0,144.23,https://mttmarket.com/packets/item/55cb6ace61ccb605c6fea387,,23.65,167.88
638,3002,https://mttmarket.com/users/55a1f9200cf2c4481c7a6e6a,Eddy James Kenway,13.08.2015,96.45,31,1.15,,20.0,0.0,-17.56,https://mttmarket.com/packets/item/55caa62561ccb6031728d81a,,38.05,20.49
639,3003,https://mttmarket.com/users/55ba5c9961ccb6004d2bcb6a,ramiawad,13.08.2015,793.12,26,1.17,,35.0,0.0,-617.03,https://mttmarket.com/packets/item/55c7dcf161ccb609c04d542c,,678.67,61.64
640,3004,https://mttmarket.com/users/554a21bc0cf2bb0785a32293,kolowsk1,13.08.2015,285.7,22,1.16,,71.0,0.0,-75.89,https://mttmarket.com/packets/item/55c8e17461ccb60ce8087898,,219.2,143.31
641,3005,https://mttmarket.com/users/5571b9ee0cf25acfc5bf69dc,bozhurin,13.08.2015,111.17,13,1.15,,25.0,0.0,59.27,https://mttmarket.com/packets/item/55c9830a61ccb60e9b80cf38,,99.37,158.64
642,3006,https://mttmarket.com/users/54a7e2090cf23c2fa9bf2c94,Play_yyer99,13.08.2015,616.2,39,1.17,,40.0,0.0,201.52,https://mttmarket.com/packets/item/55ca7d7461ccb602ab62ba12,,477.22,678.74
643,3007,https://mttmarket.com/users/5424bde20cf22953036f7c3a,Aleks13,13.08.2015,541.68,25,1.17,,50.0,0.0,-230.41,https://mttmarket.com/packets/item/55cb27ea61ccb60476bc7ba4,,445.94,215.53
644,3008,https://mttmarket.com/users/553d123c0cf26d1eaea65028,IGOR1010,13.08.2015,113.1,24,1.15,,50.0,0.0,-61.29,https://mttmarket.com/packets/item/55cb5be861ccb6057b6bea18,,112.6,51.31
645,3009,https://mttmarket.com/users/5386467f0cf2c8120d3fcdf1,check90,13.08.2015,103.0,4,1.16,,60.0,0.0,182.3,https://mttmarket.com/packets/item/55cca03d61ccb60979ecb028,,103.0,285.3
646,3010,https://mttmarket.com/users/543d59990cf24a5c0d7c7ec5,OMG!agro,13.08.2015,383.65,17,1.15,,75.0,0.0,-204.31,https://mttmarket.com/packets/item/55ccaa0d61ccb609a3aa7d3f,,345.53,141.22
647,3011,https://mttmarket.com/users/5561d9110cf25c1c3c02ae8c,gertman0,13.08.2015,322.27,26,1.16,,50.0,0.0,-236.14,https://mttmarket.com/packets/item/55cbd26f61ccb6070d34decc,,301.2,65.06
648,3012,https://mttmarket.com/users/54a29d6b0cf23c2fa9bd5ce6,regisser,13.08.2015,296.82,32,1.16,,20.0,0.0,-264.97,https://mttmarket.com/packets/item/55c5b26561ccb6033d9664e0,,289.82,24.85
649,3013,https://mttmarket.com/users/55ad35e861ccb6000f5e58de,bruini,13.08.2015,148.25,25,1.16,,30.01,0.0,-82.68,https://mttmarket.com/packets/item/55ca772761ccb6028445cf48,,130.15,47.47
650,3014,https://mttmarket.com/users/5576dfdb0cf28887159c7136,plush0,13.08.2015,235.0,28,1.16,,35.0,0.0,-187.62,https://mttmarket.com/packets/item/55cc5d2e61ccb60856c45338,,214.0,26.38
651,3015,https://mttmarket.com/users/557b28d80cf28887159d80b5,KOHb_blr,13.08.2015,249.3,25,1.16,,50.0,0.0,-116.29,https://mttmarket.com/packets/item/55ca679261ccb60269ec99bc,,208.3,92.01
652,3016,https://mttmarket.com/users/541ebfc20cf22953036c82e2,Senheiser,13.08.2015,213.69,21,1.17,,50.0,0.0,-93.33,https://mttmarket.com/packets/item/55cc896a61ccb6091a214a7b,,143.64,50.31
653,3017,https://mttmarket.com/users/5532a25d0cf26d1eaea3d260,nik1020,13.08.2015,73.01,11,1.16,,25.0,0.0,-21.26,https://mttmarket.com/packets/item/55cc9b5361ccb609731fcad0,,61.0,39.74
654,3018,https://mttmarket.com/users/5315e9ee2d00005a04ba0b3b,Serik,13.08.2015,637.82,30,1.15,,35.0,0.0,-138.46,https://mttmarket.com/packets/item/55cb36e561ccb604c4e3c095,,219.4,80.94
655,3019,https://mttmarket.com/users/54c9e1b30cf23c4942907efc,lackerboyzz,13.08.2015,101.46,20,1.16,,20.0,0.0,-79.58,https://mttmarket.com/packets/item/55c9ed5661ccb60011f52aa7,,89.3,9.72
656,3120,https://mttmarket.com/users/5565a6b70cf25c1c3c036d36,Shpocker,12.08.2015,124.16,23,1.15,,25.0,0.0,-12.59,https://mttmarket.com/packets/item/55cafc2361ccb603985968ea,,116.16,103.57
657,3121,https://mttmarket.com/users/5575d3e10cf28887159c3817,Scombat,12.08.2015,106.1,22,1.16,,50.0,0.0,-83.5,https://mttmarket.com/packets/item/55cb334d61ccb604b59e59d6,,106.1,22.6
658,3122,https://mttmarket.com/users/55891ffc0cf2888715a32b8e,Bekishev,12.08.2015,144.4,20,1.16,,30.0,0.0,549.68,https://mttmarket.com/packets/item/55c893d361ccb60bbf51e174,,134.9,684.58
659,3123,https://mttmarket.com/users/555f83450cf25c1c3c024b9b,Johnsonsb4be,12.08.2015,625.86,61,1.16,,30.0,0.0,1516.07,https://mttmarket.com/packets/item/55ca044661ccb60079f0f822,,577.73,2093.8
