Unnamed: 0,link,usr_name,profit,totBI,totCashes,roi,roiBI,tournaments,abi,itm
99,https://mttmarket.com/users/5565d9b30cf25c1c3c037c32,drobish23,202.74,4354.0,4556.74,4.66,9.59,594,7.33,21.04
103,https://mttmarket.com/users/55b7638661ccb60110fb4be8,tomoto,-377.59,7302.3,6924.71,-5.17,3.6,834,8.76,18.23
106,https://mttmarket.com/users/544288990cf24a5c0d7e6b4d,punter54,6233.52,19223.89,25457.41,32.43,35.95,2613,7.36,19.02
112,https://mttmarket.com/users/54b820150cf2ef809ccc81e2,cotondark,-369.14,2450.12,2080.98,-15.07,12.33,335,7.31,14.93
122,https://mttmarket.com/users/534d55fe130000cdf036e772,mutnyi_john,5581.63,13359.1,18940.73,41.78,50.18,1429,9.35,18.75
123,https://mttmarket.com/users/556d90530cf2a06f774995f6,parfen1111,-298.05,3804.0,3505.95,-7.84,99.77,534,7.12,19.1
124,https://mttmarket.com/users/54ba71520cf2ef809cce1700,leo minorrr,1372.31,7339.12,8711.43,18.7,27.02,1390,5.28,18.35
126,https://mttmarket.com/users/533150655200003394a9c5e0,Boogleman,145149.82,182995.1,328144.92,79.32,70.18,1265,144.66,20.32
137,https://mttmarket.com/users/55891ffc0cf2888715a32b8e,Bekishev,-43.34,5873.2,5829.86,-0.74,13.57,787,7.46,16.39
139,https://mttmarket.com/users/541ebfc20cf22953036c82e2,Senheiser,5264.64,17380.5,22645.14,30.29,30.76,2465,7.05,20.61
140,https://mttmarket.com/users/5315e9ee2d00005a04ba0b3b,Serik,-1347.84,100189.85,98842.01,-1.35,-1.48,4176,23.99,20.04
141,https://mttmarket.com/users/55c8cabb61ccb60c8eaf4748,douglas,1489.41,3428.6,4918.01,43.44,46.88,562,6.1,19.93
142,https://mttmarket.com/users/536e0f9e0cf2c15ecd6feb06,robi,6447.61,41972.75,48420.36,15.36,24.15,2226,18.86,23.0
144,https://mttmarket.com/users/537b32d00cf2c8120d3e0cbf,drunkym0nkey,13911.96,54189.38,68101.34,25.67,30.28,4513,12.01,20.1
147,https://mttmarket.com/users/54e1bc920cf2d7cefd0a5e78,RaulandTotti,-312.07,1229.23,917.16,-25.39,-30.65,613,2.01,17.29
151,https://mttmarket.com/users/5457f2620cf24a5c0d853d24,Glewellin17,389.45,19809.09,20198.54,1.97,18.63,2481,7.98,15.28
152,https://mttmarket.com/users/55645da20cf25c1c3c0328bd,helios,371.83,7816.32,8188.15,4.76,23.59,851,9.18,26.67
158,https://mttmarket.com/users/5541109c0cf2bb0785a1c6c3,prozhektorp,-3704.83,9312.47,5607.64,-39.78,-36.32,730,12.76,24.25
160,https://mttmarket.com/users/53764f6b0cf2c8120d3d4e7f,amanskiy,1567.92,6258.32,7826.24,25.05,24.52,524,11.94,20.61
162,https://mttmarket.com/users/5535460f0cf26d1eaea4774e,SkyWorker,-1925.73,17187.82,15262.09,-11.2,-5.37,718,23.94,22.14
163,https://mttmarket.com/users/53b101050cf2c8120d45c58c,rusxxxx,5887.42,39678.12,45565.54,14.84,14.88,2920,13.59,25.92
166,https://mttmarket.com/users/53c6427b0cf25b8ee9711c18,stav_nuts,7265.26,45442.76,52708.02,15.99,20.13,3028,15.01,19.02
167,https://mttmarket.com/users/54c80ece0cf266f63902a6a8,antif,8191.76,18285.6,26477.36,44.8,61.56,890,20.55,20.45
168,https://mttmarket.com/users/55cd320361ccb60bf5ef534f,sergey260594,2500.92,3126.0,5626.92,80.0,107.09,573,5.46,22.69
169,https://mttmarket.com/users/55c97e2661ccb60e9b80cf37,shurik389,2959.12,223.6,3182.72,1323.4,3709.26,15,14.91,26.67
170,https://mttmarket.com/users/5575d3e10cf28887159c3817,Scombat,-346.02,4667.3,4321.28,-7.41,14.58,960,4.86,21.46
172,https://mttmarket.com/users/55da8f8161ccb60b3ded5bab,filki,-228.84,880.09,651.25,-26.0,-32.22,150,5.87,19.33
175,https://mttmarket.com/users/536e2e620cf2586a08501922,FILTH,-84.9,11828.91,11744.01,-0.72,11.03,1200,9.86,21.92
177,https://mttmarket.com/users/55b78f3861ccb600db439570,bean paul,-251.12,3163.4,2912.28,-7.94,1.15,589,5.37,22.24
183,https://mttmarket.com/users/54750a910cf24a5c0d8cc19e,ChckMate,12893.11,171166.83,184059.94,7.53,20.21,2647,64.66,17.64
184,https://mttmarket.com/users/555a30660cf2820a8e3c6366,antey2710,175.22,320.35,495.57,54.7,113.21,90,3.56,24.44
185,https://mttmarket.com/users/5488f9b60cf298ccc7db3084,PinkZebra,1295.85,53517.87,54813.72,2.42,14.65,4671,11.46,14.47
186,https://mttmarket.com/users/53f5b7580cf22953035ff48c,dAmAzAN,2200.79,6860.37,9061.16,32.08,50.99,1309,5.24,20.32
188,https://mttmarket.com/users/55a48e920cf2c4481c7b39fb,DuxeTUT,-407.68,3570.3,3162.62,-11.42,-10.06,667,5.35,18.59
191,https://mttmarket.com/users/55c687a461ccb6061a9178f2,spektre,-183.87,2219.9,2036.03,-8.28,6.09,418,5.31,19.38
199,https://mttmarket.com/users/555b7b380cf2820a8e3ca7e5,AndrewAndrew,2868.34,6711.59,9579.93,42.74,25.56,809,8.3,19.53
202,https://mttmarket.com/users/558597c50cf2888715a16f85,SlavaSnigirev,619.07,2030.2,2649.27,30.49,34.5,507,4.0,19.13
203,https://mttmarket.com/users/5587073c0cf2888715a24de1,ATATA_R0MK0,807.55,3856.8,4664.35,20.94,19.8,848,4.55,17.57
205,https://mttmarket.com/users/548484760cf24a5c0d9147ac,Bikk87,2885.27,11832.62,14717.89,24.38,19.86,1339,8.84,19.42
206,https://mttmarket.com/users/554333e00cf2bb0785a20215,callmarrr,-315.56,5085.09,4769.53,-6.21,40.34,912,5.58,22.04
212,https://mttmarket.com/users/559d22600cf2d95aabb25301,Daddygame23,981.98,3081.2,4063.18,31.87,50.73,622,4.95,18.97
